	Antisense.PfBloodR1	Antisense.PfBloodR2	Sense.PfBloodR1	Sense.PfBloodR2	Antisense.PfOocystR1	Antisense.PfOocystR2	Sense.PfOocystR1	Sense.PfOocystR2	Antisense.PfSporozoiteR1	Antisense.PfSporozoiteR2	Sense.PfSporozoiteR1	Sense.PfSporozoiteR2
PF3D7_1205800	1.50875915816401	2.54050810317755	7.68915388137971	6.55632733334655	3.19886397631132	3.21010864889879	7.49863273139849	7.37181588946455	3.75250041902428	4.19895836037186	9.42180035356662	9.45231087138941
PF3D7_1206600	2.83068725315276	2.54050810317755	7.51855832687696	6.32645979148976	2.19886397615421	1.33563953082675	6.95223788679334	7.01071719717664	0.293068800494026	1.6139958596507	2.53305710467467	4.56478560042541
PF3D7_1206700	2.83068725315276	1.95554560245639	7.72621597570004	7.45199067372343	1.78382647708485	1.07260512533593	6.54754233150184	6.49046038614655	2.2930688007884	1.02903335869389	8.40342182416008	8.92233760538546
PF3D7_1207000	3.31611408029404	3.1254706038987	6.58347580370496	7.76426859863237	1.19886397615421	2.21010864889879	6.06211550439329	6.29781530815831	1.29306880108276	1.6139958596507	7.3659471189881	7.95710302329125
PF3D7_1207100	2.50875915816401	-0.0444543975436109	6.74697453563324	6.1889562677578	2.52079207116726	2.21010864889879	7.38788566593338	7.20253480453519	0.293068800494026	0.0290333594008652	7.26097755917203	6.82782000631
PF3D7_1208100	3.67868415977531	1.54050810317755	7.4942084657391	5.77391876841304	3.36878897822498	3.65756762628574	6.67878686509525	6.86824171592585	3.29306880093558	3.19895836037186	6.95932185917968	6.82782000631
PF3D7_1208200	4.75668667142081	3.76290052451399	4.47567251423269	6.09968892954712	6.00621889839137	3.65756762628574	6.29272843238012	5.21981279611628	5.68538622377742	5.67288954861001	10.6284541279293	10.5804794082664
PF3D7_1208800	3.50875915791051	3.54050810317755	7.84651020936324	8.57852307933788	2.19886397615421	1.92060203173845	4.47715300367213	4.5823828758451	3.75250041902428	4.11649620031851	10.0006626548619	9.98094976476023
PF3D7_1208900	4.09372165905416	4.54050810317755	7.97083834460122	8.73245215113168	4.10575457155324	4.24253012700689	8.2968211872585	8.35366854291968	5.04795630322443	4.02903335922412	10.8971917595155	10.8221734431938
PF3D7_1210600	2.50875915816401	3.27747369734375	6.98401373305619	7.09968892996786	3.19886397631132	3.50556453258663	7.59484804637472	7.44710401657686	0.293068800494026	0.0290333594008652	6.34041202669667	5.7022891243416
PF3D7_1211300	2.09372165905416	2.95554560245639	4.47567251423269	6.17445669804471	2.78382647708485	1.92060203173845	4.78749312424249	5.2425328726829	1.29306880108276	0.0290333594008652	4.11801960506349	3.24285750584284
PF3D7_1211700	3.31611408029404	4.65598532059748	8.73403548032506	9.63388831662753	0.198863976782672	2.55803195240818	7.13707756151694	7.48808557891159	0.293068800494026	2.02903335869389	4.11801960506349	5.14974810134976
PF3D7_1211900	2.50875915816401	-0.0444543975436109	8.49113563162464	6.08425888895715	2.52079207116726	2.55803195240818	7.83329681389234	7.58460754055228	2.61499689585238	3.72947307688936	8.08764595642656	8.12550055497221
