PlasmoDB_GeneID	PfBloodR1	PfBloodR2	PfOocystR1	PfOocystR2	PfSporozoiteR1	PfSporozoiteR2
PF3D7_0920100	13.80976171	9.484290128	60.57957934	45.54811402	0	0
PF3D7_0920200	17.64580663	28.45287038	78.39710267	92.27929594	0	0
PF3D7_0920300	112.0125116	323.1954251	2.6726285	1.478834871	0	0
PF3D7_0920400	13.80976171	28.45287038	24.94453267	28.68939649	2.893984319	9.46667311
PF3D7_0920500	5.370462886	9.484290128	10.690514	12.71797989	2.893984319	2.366668277
PF3D7_0920600	15.34417967	30.64155272	14.25401867	16.26718358	2.893984319	2.366668277
PF3D7_0920700	16.87859764	45.96232908	32.071542	36.97087177	199.684918	144.3667649
PF3D7_0920800	137.3304081	13.13209402	131.8496727	145.2215843	0	0
PF3D7_0920900	34.52440427	31.3711135	53.45257001	43.4777452	5.787968638	0
PF3D7_0921000.1	6.904880854	24.07550571	8.017885501	5.619572509	0	0
PF3D7_0921000.2	0	0	0	0	0	0
PF3D7_0921100	5.370462886	11.67297247	0.890876167	4.140737638	2.893984319	0
PF3D7_0921200	88.99624211	35.74847817	82.85148351	75.71634538	0	0
PF3D7_0921300	5.370462886	6.566047012	16.92664717	18.63331937	0	0
PF3D7_0921400	0	0.729560779	7.127009334	5.619572509	0	0
PF3D7_0921500	0	0	4.454380834	2.070368819	0	0
PF3D7_0921600	54.47183785	34.28935662	50.77994151	60.33646273	52.09171774	59.16670694
PF3D7_0921700	8.439298821	13.8616548	72.16096951	54.71689022	14.4699216	14.20000966
PF3D7_0921800	28.3867324	27.7233096	40.98030367	34.308969	0	0
PF3D7_0921900	61.3767187	26.99374883	93.54199751	103.518441	0	0
PF3D7_0922000	50.63579293	95.57246206	2.6726285	8.873009225	2.893984319	0
PF3D7_0922100	247.0412928	110.8932384	378.6223709	350.1880974	0	2.366668277
PF3D7_0922200	566.20023	236.3776924	1118.940465	899.1316014	1426.734269	1829.434578
PF3D7_0922300	296.9098767	444.3025145	0	4.140737638	0	7.100004832
