Gene.ID	ToxoDB_ID	Gene.Name.or.Symbol	Oocyst_4vs0d_logFC	Oocyst_4vs0d_test	Oocyst_10vs0d_logFC	Oocyst_10vs0d_test	Tachy_2dpi_vitro_vs_Oocyst_0d_logFC	Tachy_2dpi_vitro_vs_Oocyst_0d_test	Brady_4dpi_vitro_vs_Oocyst_0d_logFC	Brady_4dpi_vitro_vs_Oocyst_0d_test	Brady_8dpi_vitro_vs_Oocyst_0d_logFC	Brady_8dpi_vitro_vs_Oocyst_0d_test	Brady_21dpi_vivo_vs_Oocyst_0d_logFC	Brady_21dpi_vivo_vs_Oocyst_0d_test
TGME49_237180	46.m01740	N/A	1.5400589865	1	1.1083816615	1	2.2879398265	1	1.958841972	1	1.8986800765	1	1.9944852415	1
TGME49_239600	49.m03159	ROP23	1.6256946985	1	1.315914823	1	0.431469860500001	0	2.670104862	1	2.8123335325	1	1.8883182635	1
TGME49_249990	50.m03350	N/A	2.460434545	1	2.2924091195	1	2.332757134	1	1.322626708	1	1.5097175775	1	0.823329853000001	1
TGME49_305090	541.m02038	N/A	1.9307506065	1	2.0808275055	1	1.6524417285	1	1.6791987155	1	1.725811545	1	1.669597951	1
TGME49_203990	20.m08222	ROP12	1.9151740785	1	0.905367840500001	1	2.0479334125	1	2.161501889	1	2.0352548	1	1.6706183025	1
TGME49_319890	641.m01540	N/A	5.5832159465	1	4.551485309	1	0.826078778000001	1	0.247825441000002	0	0.00821852800000311	0	-0.568131311499998	-1
TGME49_271050	59.m00008	SAG2A	2.2924398255	1	1.1329531895	1	3.10452061	1	1.5619534635	1	1.8731318425	1	0.6826448875	0
TGME49_211680	27.m00003	N/A	-0.224176582499998	0	-0.0695659449999981	0	2.5863742415	1	3.1855330635	1	3.0169667925	1	2.139956944	1
TGME49_220900	41.m01270	N/A	1.637550611	1	0.783175224000002	1	2.618181842	1	2.172678118	1	1.8928793385	1	1.487878049	1
TGME49_229250	44.m04692	RPL28	-0.391706903499999	0	1.234233052	1	2.284449006	1	2.2267430085	1	2.385972426	1	2.820168915	1
TGME49_285870	76.m01626	SRS20A	0.731629313500001	1	0.708305672500001	1	3.1356575125	1	2.07760281	1	1.894637706	1	2.0036103435	1
TGME49_223040	41.m01386	N/A	-1.0913278955	-1	-1.087996868	-1	3.4340828325	1	3.261456593	1	3.48899444	1	2.5451844945	1
TGME49_305520	541.m00133	RPS2	0.472058716000001	0	1.561237528	1	2.323185332	1	1.9809158845	1	2.33546859	1	1.869118479	1
TGME49_294790	83.m01285	N/A	2.8050332625	1	1.777289956	1	1.7814294055	1	1.375404806	1	1.296105949	1	1.486130529	1
TGME49_286630	76.m01670	N/A	-0.901633349499997	-1	-0.736082685999998	-1	2.91354402	1	3.12460917	1	3.0080064665	1	3.104126877	1
TGME49_242240	49.m03277	ROP19A	1.1145874335	1	0.573621444500001	0	3.1568828755	1	2.3169931055	1	2.3774050175	1	0.951299828000001	1
TGME49_280460	72.m00383	AP2VIIA2	1.4340750655	1	2.0544681955	1	1.187771695	1	1.0000971305	1	1.828823566	1	2.9750707215	1
TGME49_267050	57.m03110	N/A	-0.0279513629999997	0	0.274228186	0	1.7883096685	1	2.716090185	1	2.705475691	1	2.9981005575	1
TGME49_243690	49.m00056	N/A	2.352787691	1	1.897386683	1	1.8176766355	1	1.513898823	1	1.442814245	1	1.422288412	1
TGME49_297070	113.m00755	N/A	1.779563308	1	0.877615559000002	1	2.704792076	1	1.9128956865	1	1.7418584615	1	1.4279846445	1
TGME49_232650	44.m02739	N/A	1.4527085435	1	0.956803716000001	1	1.297237556	1	2.370522595	1	2.320686456	1	2.034702422	1
TGME49_270520	59.m06066	N/A	0.511569551499998	0	1.312495035	1	2.2332529755	1	1.9805956705	1	2.474640345	1	1.886484215	1
TGME49_259880	55.m04848	N/A	2.652179346	1	2.2223117105	1	1.9806328475	1	0.893476006500002	1	1.1153389675	1	1.510686698	1
TGME49_225560	42.m00044	N/A	1.3916088975	1	1.637930286	1	2.5946766525	1	1.6627934735	1	1.657331097	1	1.4225015725	1
TGME49_287040	76.m01687	N/A	4.339525515	1	2.694936133	1	0.390145966500004	0	0.415010268500003	0	1.1241321015	1	1.3940385205	1
TGME49_231950	44.m02687	N/A	1.433990443	1	1.917278983	1	2.0164963085	1	1.5693852895	1	1.6382985935	1	1.7705377695	1
TGME49_269438	59.m03455	N/A	0.588165782500002	0	0.280356451500001	0	2.160429148	1	2.6255865305	1	2.3900289995	1	2.299170274	1
TGME49_269442	59.m03455	N/A	0.588165782500002	0	0.280356451500001	0	2.160429148	1	2.6255865305	1	2.3900289995	1	2.299170274	1
TGME49_289900	80.m02249	N/A	3.3461735855	1	3.6057197885	1	1.0165448645	1	0.1352996515	0	0.284729476	0	1.894106281	1
TGME49_291860	80.m03965	N/A	3.2597716565	1	2.8364781215	1	0.229231604500002	0	0.222989797000001	0	0.249235947000002	0	3.4751469395	1
TGME49_263560	55.m05069	N/A	2.207941689	1	1.3680207065	1	1.794069592	1	1.6135243875	1	1.6857795085	1	1.5979378425	1
TGME49_268880	59.m03413	N/A	1.158238634	1	0.722702306000003	1	1.6826259815	1	2.237857592	1	2.069548217	1	2.388615968	1
TGME49_249720	50.m03327	N/A	-0.955630896	-1	0.944687747999997	1	2.8429111675	1	2.8506018205	1	2.998096532	1	1.5557411915	1
TGME49_310780	583.m11414	GRA4	2.001828236	1	2.3155537405	1	2.182725212	1	1.102235085	1	1.538514667	1	1.0331987965	1
TGME49_239780	49.m07250	N/A	2.3896384785	1	1.7104844285	1	1.3330682755	1	1.227936438	1	1.369847647	1	2.142555751	1
TGME49_295110	83.m02145	ROP7	1.2208940495	1	0.6958351985	1	1.862527227	1	2.1754950705	1	1.9010400325	1	2.300632796	1
